year,gini_ratio,expenditure_bottom40,expenditure_middle40,expenditure_top20,source
2000,30.3,22.2,37.8,39.9,World Bank API: distribution shares are income or consumption shares depending on survey metadata
2001,31.2,21.9,37.5,40.7,World Bank API: distribution shares are income or consumption shares depending on survey metadata
2002,30.2,22.5,37.4,40.1,World Bank API: distribution shares are income or consumption shares depending on survey metadata
2003,29.3,22.6,38.4,39,World Bank API: distribution shares are income or consumption shares depending on survey metadata
2004,30.4,21.9,38.1,39.9,World Bank API: distribution shares are income or consumption shares depending on survey metadata
2005,29.9,22.3,38.3,39.4,World Bank API: distribution shares are income or consumption shares depending on survey metadata
2006,31.5,21.4,38.1,40.6,World Bank API: distribution shares are income or consumption shares depending on survey metadata
2007,33.2,20.6,37.2,42.1,World Bank API: distribution shares are income or consumption shares depending on survey metadata
2008,32.6,20.8,37.6,41.6,World Bank API: distribution shares are income or consumption shares depending on survey metadata
2009,33.4,20.6,37,42.4,World Bank API: distribution shares are income or consumption shares depending on survey metadata
2010,34.6,19.7,37.3,42.9,World Bank API: distribution shares are income or consumption shares depending on survey metadata
2011,37.9,18.4,35.6,46,World Bank API: distribution shares are income or consumption shares depending on survey metadata
2012,37.1,18.8,35.8,45.4,World Bank API: distribution shares are income or consumption shares depending on survey metadata
2013,38.9,18,35,47,World Bank API: distribution shares are income or consumption shares depending on survey metadata
2014,38.8,18,35.3,46.7,World Bank API: distribution shares are income or consumption shares depending on survey metadata
2015,38.2,18.4,35.3,46.3,World Bank API: distribution shares are income or consumption shares depending on survey metadata
2016,36.9,18.5,37,44.6,World Bank API: distribution shares are income or consumption shares depending on survey metadata
2017,36.4,18.6,37.4,44.1,World Bank API: distribution shares are income or consumption shares depending on survey metadata
2018,36.3,18.7,37.4,44,World Bank API: distribution shares are income or consumption shares depending on survey metadata
2019,35.4,19.1,37.7,43.2,World Bank API: distribution shares are income or consumption shares depending on survey metadata
2020,35.3,19.1,37.6,43.3,World Bank API: distribution shares are income or consumption shares depending on survey metadata
2021,35.5,19.2,37.2,43.5,World Bank API: distribution shares are income or consumption shares depending on survey metadata
2022,35.5,19.5,36.5,44,World Bank API: distribution shares are income or consumption shares depending on survey metadata
2023,36.1,19.5,35.9,44.6,World Bank API: distribution shares are income or consumption shares depending on survey metadata
2024,34.9,19.9,36.4,43.6,World Bank API: distribution shares are income or consumption shares depending on survey metadata
