year,poverty_rate,extreme_poverty_rate,source
2000,19.1,65.7,World Bank API
2001,18.4,62.3,World Bank API
2002,18.2,46.8,World Bank API
2003,17.4,45.5,World Bank API
2004,16.7,45.4,World Bank API
2005,16,41.1,World Bank API
2006,17.8,46.8,World Bank API
2007,16.6,41.1,World Bank API
2008,15.4,38,World Bank API
2009,14.1,37.9,World Bank API
2010,13.3,34.1,World Bank API
2011,12.5,31.2,World Bank API
2012,12,26.6,World Bank API
2013,11.4,27.2,World Bank API
2014,11.3,25.7,World Bank API
2015,11.2,21.6,World Bank API
2016,10.9,18,World Bank API
2017,10.6,14.8,World Bank API
2018,9.8,12.5,World Bank API
2019,9.4,10.9,World Bank API
2020,9.8,9.8,World Bank API
2021,10.1,8.6,World Bank API
2022,9.5,7.9,World Bank API
2023,9.4,6.7,World Bank API
2024,9,5.4,World Bank API
